StoreID,Year,Sales Amount,Format,Size,Climate,Location,Geography,In Stock %,Customer Profile,Household Income
1175,2012,1821433,Strip Mall,50000,Moderate,Urban,East,88,B,M
1176,2012,1464848,Strip Mall,35000,cold,Urban,North,94,C,L
1177,2012,7058016,City Mall,85000,Hot,Urban,West,97,A,M
1180,2012,1934925,Standalone,45000,cold,Rural,North,90,C,M
1181,2012,2192969,Standalone,50000,Moderate,Urban,North,97,C,L
1182,2012,1401925,Standalone,35000,cold,Rural,North,92,C,L
1183,2012,2412345,City Mall,60000,hot,Urban,South,97,C,L
1184,2012,1524389,Standalone,45000,cold,Urban,North,93,C,L
1187,2012,4656758,City Mall,65000,cold,Urban,West,90,B,L
1189,2012,1699945,Standalone,45000,hot,Rural,East,88,C,L
1190,2012,2965887,Strip Mall,60000,hot,Rural,South,92,C,L
1191,2012,3046533,Standalone,55000,Moderate,Rural,West,93,C,L
1192,2012,1928103,Strip Mall,45000,cold,Rural,North,93,B,L
1193,2012,5124295,Urban Center,60000,Moderate,Urban,South,93,C,L
1194,2012,2852864,City Mall,45000,hot,Rural,South,92,C,M
1195,2012,2375272,City Mall,55000,hot,Urban,South,97,B,M
1197,2012,1863207,Standalone,45000,Moderate,Rural,South,94,C,L
1198,2012,3637067,Urban Center,60000,Moderate,Urban,North,89,C,L
1200,2012,1036425,Strip Mall,40000,cold,Rural,North,90,C,L
1202,2012,1013049,Strip Mall,30000,cold,Urban,North,90,C,L
1203,2012,2487127,Urban Center,45000,cold,Urban,East,93,C,L
1204,2012,1189315,Strip Mall,40000,cold,Rural,North,92,C,L
1205,2012,2318720,Standalone,40000,cold,Rural,North,94,B,M
1206,2012,1543180,Strip Mall,45000,Moderate,Urban,South,93,C,L
1207,2012,2985692,Strip Mall,50000,hot,Rural,South,92,C,L
1210,2012,1697799,Standalone,50000,hot,Rural,East,88,C,L
1212,2012,1577985,Standalone,50000,Moderate,Urban,South,90,C,L
1213,2012,1928471,Standalone,50000,cold,Rural,North,90,B,L
1214,2012,1683054,Standalone,50000,hot,Rural,South,86,C,L
1215,2012,2091462,Standalone,45000,Moderate,Urban,West,98,B,M
1217,2012,3140258,Standalone,45000,Moderate,Urban,West,95,B,L
1218,2012,1519026,Standalone,35000,cold,Urban,North,94,C,L
1219,2012,3048177,Standalone,55000,Moderate,Rural,West,93,B,L
1220,2012,1943086,Standalone,55000,cold,Rural,North,90,C,M
1221,2012,3203227,City Mall,55000,cold,Urban,East,93,B,M
1222,2012,3130360,Standalone,40000,Moderate,Urban,West,95,B,L
1223,2012,2330009,City Mall,45000,hot,Rural,South,97,B,M
1224,2012,2720879,Urban Center,50000,cold,Rural,North,86,B,M
1225,2012,6812408,Super Center,85000,Hot,Urban,North,98,A,M
1227,2012,1583141,Strip Mall,45000,Moderate,Urban,South,86,C,L
1228,2012,1882306,Standalone,50000,Moderate,Rural,North,97,C,L
1229,2012,2060989,Standalone,45000,Moderate,Urban,West,94,B,M
1230,2012,2575128,Standalone,35000,cold,Rural,North,90,C,M
1232,2012,2246611,Urban Center,55000,cold,Urban,North,96,B,L
1234,2012,1684409,Strip Mall,65000,hot,Rural,South,86,C,L
1235,2012,2008353,Standalone,55000,Moderate,Urban,West,94,C,M
1236,2012,1842777,Strip Mall,45000,Moderate,Rural,West,94,B,M
1237,2012,1639134,Strip Mall,40000,Moderate,Rural,South,86,C,L
1238,2012,2530282,City Mall,50000,cold,Urban,East,93,C,M
1239,2012,2329230,City Mall,40000,hot,Rural,South,94,B,M
1240,2012,2305972,City Mall,50000,cold,Rural,North,94,B,M
1241,2012,2727682,Standalone,45000,Moderate,Rural,North,88,B,M
1242,2012,1742044,Strip Mall,45000,hot,Urban,East,88,C,L
1243,2012,2551252,Urban Center,45000,cold,Rural,North,90,C,M
1244,2012,1255528,Strip Mall,35000,cold,Rural,North,92,C,L
1245,2012,2170020,Standalone,45000,Moderate,Urban,West,97,C,L
1246,2012,2689675,Urban Center,50000,Moderate,Rural,North,86,B,M
1248,2012,5021004,Strip Mall,60000,Moderate,Urban,South,93,B,M
1249,2012,1815179,Standalone,50000,Moderate,Urban,East,88,B,M
1250,2012,2724457,Urban Center,45000,hot,Rural,South,88,B,M
1252,2012,2458171,Standalone,75000,Moderate,Urban,East,93,C,L
1254,2012,3179959,City Mall,55000,cold,Urban,West,93,B,L
1255,2012,2449321,Standalone,60000,Moderate,Urban,East,97,C,M
1257,2012,2572845,Standalone,35000,Moderate,Rural,North,90,C,L
1259,2012,2278475,Urban Center,45000,cold,Rural,North,96,B,L
1260,2012,1745645,Standalone,45000,Moderate,Urban,East,88,B,L
1261,2012,2041774,Standalone,55000,Moderate,Urban,West,94,B,M
1262,2012,1446703,Strip Mall,40000,cold,Rural,North,94,C,L
1263,2012,2482616,Urban Center,60000,Moderate,Urban,East,93,C,M
1266,2012,1685964,Standalone,60000,hot,Rural,South,88,C,L
1268,2012,1162504,Strip Mall,35000,cold,Rural,North,90,C,L
1270,2012,1148544,Strip Mall,35000,cold,Rural,North,90,C,L
1271,2012,2547127,City Mall,45000,cold,Urban,North,90,C,L
1272,2012,1734518,Strip Mall,50000,hot,Urban,East,98,C,L
1273,2012,1525829,Strip Mall,50000,Moderate,Urban,South,93,C,L
,,,,, ,,, , ,
,,,,, ,,,,,
